Angles	Fields	Field before	Fields after	Frequency	Magnitude	Phase	Real	Imaginary
-2.80000000E+1	-1.30000000E-2	-1.09876187E-2	-1.09685394E-2	2.43025920E+9	-8.48695810E+1	-2.77442982E+0	-5.32801299E-5	-2.04916847E-5
-2.80000000E+1	-1.25000000E-2	-1.04853673E-2	-1.04735193E-2	2.43025920E+9	-8.47841711E+1	-2.74944286E+0	-5.32728001E-5	-2.20320417E-5
-2.80000000E+1	-1.20000000E-2	-1.00072973E-2	-9.98334468E-3	2.43025920E+9	-8.45599311E+1	-2.74320015E+0	-5.45238280E-5	-2.29490606E-5
-2.80000000E+1	-1.15000000E-2	-9.49937424E-3	-9.48736395E-3	2.43025920E+9	-8.43752403E+1	-2.74851892E+0	-5.58194942E-5	-2.31456966E-5
-2.80000000E+1	-1.10000000E-2	-9.01306812E-3	-8.99325400E-3	2.43025920E+9	-8.43278587E+1	-2.75872468E+0	-5.63594066E-5	-2.26983031E-5
-2.80000000E+1	-1.05000000E-2	-8.52046096E-3	-8.50247721E-3	2.43025920E+9	-8.43788443E+1	-2.76487352E+0	-5.61672409E-5	-2.22205146E-5
-2.80000000E+1	-1.00000000E-2	-8.02622279E-3	-8.00943676E-3	2.43025920E+9	-8.43265341E+1	-2.77020958E+0	-5.66250064E-5	-2.20529004E-5
-2.80000000E+1	-9.50000000E-3	-7.53374320E-3	-7.51471365E-3	2.43025920E+9	-8.43950016E+1	-2.76759190E+0	-5.61229419E-5	-2.20267370E-5
-2.80000000E+1	-9.00000000E-3	-7.04214738E-3	-7.02065000E-3	2.43025920E+9	-8.42852673E+1	-2.76660450E+0	-5.68144224E-5	-2.23628891E-5
-2.80000000E+1	-8.50000000E-3	-6.53697844E-3	-6.52232468E-3	2.43025920E+9	-8.43810903E+1	-2.76841283E+0	-5.62309924E-5	-2.20158886E-5
-2.80000000E+1	-8.00000000E-3	-6.05262831E-3	-6.02933721E-3	2.43025920E+9	-8.43106959E+1	-2.77157013E+0	-5.67583591E-5	-2.20159471E-5
-2.80000000E+1	-7.50000000E-3	-5.55071646E-3	-5.53661315E-3	2.43025920E+9	-8.43402573E+1	-2.77704708E+0	-5.66848388E-5	-2.16310122E-5
-2.80000000E+1	-7.00000000E-3	-5.06185316E-3	-5.04210854E-3	2.43025920E+9	-8.43366349E+1	-2.77571684E+0	-5.66796475E-5	-2.17154521E-5
